icao,municipality,country,name,lat,lon
AAXX,Rothera Point,AQ,Aeródromo de Punto Rothera,-67.56694,-68.12699
AGAF,Bila,SB,Afutara Aerodrome,-9.19139,160.94861
AGAR,Arona,SB,Ulawa Airport,-9.86054,161.97955
AGAT,Atoifi,SB,Uru Harbour Airport,-8.87333,161.01100
AGBA,Barakoma,SB,Barakoma Airport,-7.91278,156.70599
AGBT,Batuna Mission Station,SB,Batuna Aerodrome,-8.56203,158.11931
AGEV,Liangia,SB,Geva Airport,-7.57583,156.59700
AGGA,Auki,SB,Gwaunaru'u Airport,-8.70257,160.68201
AGGB,Anua,SB,Bellona/Anua Airport,-11.30222,159.79833
AGGC,Choiseul Bay,SB,Choiseul Bay Airport,-6.71194,156.39611
AGGE,Ballalae,SB,Ballalae Airport,-6.99075,155.88666
AGGF,Fera Island,SB,Fera/Maringe Airport,-8.10750,159.57700
AGGH,Honiara,SB,Honiara International Airport,-9.42800,160.05499
AGGI,Mbambanakira,SB,Babanakira Airport,-9.74750,159.83900
AGGJ,Avu Avu,SB,Avu Avu Airport,-9.86833,160.41056
AGGK,Kirakira,SB,Ngorangora Airport,-10.44970,161.89799
AGGL,Santa Cruz/Graciosa Bay/Luova,SB,Santa Cruz/Graciosa Bay/Luova Airport,-10.72030,165.79500
AGGM,Munda,SB,Munda Airport,-8.32797,157.26300
AGGN,Gizo,SB,Nusatupe Airport,-8.09778,156.86400
AGGO,Stirling Island,SB,Mono Airport,-7.41694,155.56500
AGGP,Parasi,SB,Parasi Airport,-9.64167,161.42500
AGGR,Rennell Island,SB,Rennell/Tingoa Airport,-11.55000,160.06278
AGGS,Sege,SB,Sege Airport,-8.57889,157.87601
AGGT,Santa Ana Island,SB,Santa Ana Airport,-10.84799,162.45411
AGGU,Marau,SB,Marau Airport,-9.86167,160.82500
AGGV,Suavanao,SB,Suavanao Airport,-7.58556,158.73100
AGGY,Yandina,SB,Yandina Airport,-9.09282,159.21841
AGIN,Veravaulo,SB,Isuna Heliport,-9.80581,159.96272
AGKG,Kagau Island,SB,Kaghau Airport,-7.33050,157.58500
AGKU,Kolombangara Island,SB,Kukudu Airport,-8.02620,156.94783
AGKW,Kwailabesi,SB,Kwailabesi Airport,-8.36051,160.77513
AGLM,Lomlom,SB,Lomlom Airport,-10.29683,166.32732
AGNA,Star Harbor,SB,Nana Airport,-10.67580,162.20490
AGOB,Manaoba,SB,Manaoba Airport,-8.32501,160.80051
AGOK,Gatokae,SB,Gatokae Aerodrome,-8.73836,158.20284
